Prompt,Category
Went for a fine dining experience at Taj Vivanta.,Dining
Paid additional maintenance charges for my rented house.,Rent
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Bought a Spotify Premium annual plan.,Entertainment
Paid for car parking at Phoenix Mall.,Transportation
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Paid PG accommodation fees via NoBroker.,Rent
Transferred rent for my Bangalore apartment.,Rent
Ordered chaat and golgappa from a famous local vendor.,Dining
Paid for a trekking adventure in Himachal.,Entertainment
Bought first-aid essentials from MedPlus.,Healthcare
Paid the BSNL landline bill.,Utilities
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Paid the DTH recharge for Tata Sky.,Utilities
Purchased health insurance from HDFC Ergo.,Healthcare
Bought a gaming mouse from Flipkart.,Entertainment
Purchased a new smartphone during the Amazon Great Indian Sale.,Shopping
Bought an AC chair car ticket from IRCTC.,Travel
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Got a Kurti from Biba for an event.,Shopping
Refueled my car at an Indian Oil petrol pump.,Transportation
Refilled CNG in my vehicle at an HP station.,Transportation
Paid security deposit for a new flat in Pune.,Rent
Paid additional maintenance charges for my rented house.,Rent
Stopped by a local kirana shop for daily essentials.,Groceries
Ordered biryani from Paradise Biryani House.,Dining
Ordered chaat and golgappa from a famous local vendor.,Dining
Ordered a smartwatch from Croma online.,Shopping
Renewed my Tata Sky DTH subscription.,Subscriptions
Refueled my car at an Indian Oil petrol pump.,Transportation
Got fresh paneer and vegetables from the local mandi.,Groceries
Renewed my Tata Sky DTH subscription.,Subscriptions
Ordered chaat and golgappa from a famous local vendor.,Dining
Refilled CNG in my vehicle at an HP station.,Transportation
Paid the BSNL landline bill.,Utilities
Purchased a new smartphone during the Amazon Great Indian Sale.,Shopping
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Bought medicines from Apollo Pharmacy.,Healthcare
Paid for car parking at Phoenix Mall.,Transportation
Covered plumbing repair costs for a leakage issue.,Utilities
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Paid for car parking at Phoenix Mall.,Transportation
Booked an online doctor appointment via Practo.,Healthcare
Paid for an annual membership of Times of India e-paper.,Subscriptions
Bought a subscription to Economic Times online.,Subscriptions
Attended a music concert at NSCI Dome.,Entertainment
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Stopped by a local kirana shop for daily essentials.,Groceries
Booked an Uber to the railway station.,Travel
Took an e-rickshaw ride in Delhi.,Transportation
Booked an Uber to the railway station.,Travel
Booked an auto ride via Rapido.,Transportation
Booked an Uber to the railway station.,Travel
Bought gold jewelry from Tanishq.,Shopping
Signed up for a Udemy course on Python.,Subscriptions
Ordered a full South Indian thali from Swiggy.,Dining
Booked an Uber to the railway station.,Travel
Tried out street food at Sarafa Bazaar in Indore.,Dining
Got a Kurti from Biba for an event.,Shopping
Bought medicines from Apollo Pharmacy.,Healthcare
Bought a Delhi Metro smart card recharge.,Travel
Upgraded my Netflix plan to premium.,Subscriptions
Purchased health insurance from HDFC Ergo.,Healthcare
Had a masala dosa from Saravana Bhavan.,Dining
Recharged my FASTag for highway travel.,Transportation
Cleared municipal water tax online.,Utilities
Bought ethnic wear from Fabindia.,Shopping
Stopped by a local kirana shop for daily essentials.,Groceries
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Purchased a new smartphone during the Amazon Great Indian Sale.,Shopping
Refueled my car at an Indian Oil petrol pump.,Transportation
Tried out street food at Sarafa Bazaar in Indore.,Dining
Got a designer lehenga from Manyavar.,Shopping
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Paid security deposit for a new flat in Pune.,Rent
Refilled CNG in my vehicle at an HP station.,Transportation
Attended a stand-up comedy show in Mumbai.,Entertainment
Stopped by a local kirana shop for daily essentials.,Groceries
Booked an Uber to the railway station.,Travel
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Went to an amusement park in Essel World.,Entertainment
Paid the BSNL landline bill.,Utilities
Rented a self-drive Zoomcar for a weekend trip.,Travel
Transferred rent to the landlord via Google Pay.,Rent
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Got fresh paneer and vegetables from the local mandi.,Groceries
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Bought a Delhi Metro smart card recharge.,Travel
Booked an auto ride via Rapido.,Transportation
Cleared monthly rent through UPI transfer.,Rent
Booked an Uber to the railway station.,Travel
Bought a Delhi Metro smart card recharge.,Travel
Bought medicines from Apollo Pharmacy.,Healthcare
Took an auto-rickshaw to the office.,Travel
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Paid PG accommodation fees via NoBroker.,Rent
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Ordered a full South Indian thali from Swiggy.,Dining
Ordered biryani from Paradise Biryani House.,Dining
Paid for a Zee5 yearly subscription.,Subscriptions
Went for a fine dining experience at Taj Vivanta.,Dining
Renewed my home inverter battery.,Utilities
Got eye checkup and glasses from Lenskart.,Healthcare
Paid my LPG gas bill for Indane.,Utilities
Bought an annual Amazon Prime membership.,Subscriptions
Bought a subscription to Economic Times online.,Subscriptions
Paid electricity bill via Paytm.,Utilities
Booked a Volvo bus to Bangalore via RedBus.,Travel
Transferred rent to the landlord via Google Pay.,Rent
Ordered a pair of sneakers from Flipkart.,Shopping
Booked an Uber to the railway station.,Travel
Renewed my Tata Sky DTH subscription.,Subscriptions
Paid rent for my co-living space at Zolo.,Rent
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Renewed my YouTube Premium plan.,Subscriptions
Renewed my Tata Sky DTH subscription.,Subscriptions
Ordered grocery essentials from Jiomart online.,Groceries
Paid the BSNL landline bill.,Utilities
Got fresh paneer and vegetables from the local mandi.,Groceries
Settled rental agreement paperwork costs.,Rent
Upgraded my Netflix plan to premium.,Subscriptions
Cleared my Airtel broadband bill.,Utilities
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Upgraded my Netflix plan to premium.,Subscriptions
Attended a stand-up comedy show in Mumbai.,Entertainment
Refueled my car at an Indian Oil petrol pump.,Transportation
Transferred rent for my Bangalore apartment.,Rent
Renewed Cult.fit gym membership for six months.,Subscriptions
Bought a gaming mouse from Flipkart.,Entertainment
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Bought ethnic wear from Fabindia.,Shopping
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Ordered a smartwatch from Croma online.,Shopping
Paid for excess baggage at Mumbai Airport.,Travel
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Paid rent for my co-living space at Zolo.,Rent
Paid the BSNL landline bill.,Utilities
Booked an online doctor appointment via Practo.,Healthcare
Went for a fine dining experience at Taj Vivanta.,Dining
Paid for an annual membership of Times of India e-paper.,Subscriptions
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Cleared municipal water tax online.,Utilities
Paid electricity bill via Paytm.,Utilities
Had chai and samosas at a local tea stall.,Dining
Paid for a train sleeper class ticket on IRCTC.,Travel
Took an auto-rickshaw to the office.,Travel
Paid for car parking at Phoenix Mall.,Transportation
Went to an amusement park in Essel World.,Entertainment
Transferred rent for my Bangalore apartment.,Rent
Hired an Ola cab for an outstation trip.,Travel
Paid additional maintenance charges for my rented house.,Rent
Bought a Delhi Metro smart card recharge.,Travel
Bought organic groceries from Nature’s Basket.,Groceries
Settled the maintenance charges for my society.,Utilities
Renewed Cult.fit gym membership for six months.,Subscriptions
Reserved a flight ticket via MakeMyTrip.,Travel
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Cleared municipal water tax online.,Utilities
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Bought an AC chair car ticket from IRCTC.,Travel
Cleared my Airtel broadband bill.,Utilities
Transferred rent for my Bangalore apartment.,Rent
Picked up sportswear from Decathlon.,Shopping
Recharged Jio mobile plan for the month.,Utilities
Bought gold jewelry from Tanishq.,Shopping
Refilled CNG in my vehicle at an HP station.,Transportation
Bought an AC chair car ticket from IRCTC.,Travel
Transferred rent for my Bangalore apartment.,Rent
Settled lease extension fees for my flat.,Rent
Picked up sportswear from Decathlon.,Shopping
Paid for a trekking adventure in Himachal.,Entertainment
Paid the DTH recharge for Tata Sky.,Utilities
Renewed my YouTube Premium plan.,Subscriptions
Booked an Uber to the railway station.,Travel
Purchased a Kindle book from Amazon.,Entertainment
Got a designer lehenga from Manyavar.,Shopping
Paid rent for my co-living space at Zolo.,Rent
Paid rent for my co-living space at Zolo.,Rent
Bought an annual Amazon Prime membership.,Subscriptions
Made an early EMI payment for home loan.,Rent
Purchased health insurance from HDFC Ergo.,Healthcare
Paid consultation fees at AIIMS Delhi.,Healthcare
Went for a fine dining experience at Taj Vivanta.,Dining
Paid the BSNL landline bill.,Utilities
Paid my LPG gas bill for Indane.,Utilities
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Booked an auto ride via Rapido.,Transportation
Bought organic groceries from Nature’s Basket.,Groceries
Paid the DTH recharge for Tata Sky.,Utilities
Bought gold jewelry from Tanishq.,Shopping
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Purchased a Kindle book from Amazon.,Entertainment
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Ordered chaat and golgappa from a famous local vendor.,Dining
Refilled CNG in my vehicle at an HP station.,Transportation
Ordered a pair of sneakers from Flipkart.,Shopping
Took an e-rickshaw ride in Delhi.,Transportation
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Booked an online doctor appointment via Practo.,Healthcare
Attended a stand-up comedy show in Mumbai.,Entertainment
Ordered a full South Indian thali from Swiggy.,Dining
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Bought a Spotify Premium annual plan.,Entertainment
Paid for a trekking adventure in Himachal.,Entertainment
Purchased a new smartphone during the Amazon Great Indian Sale.,Shopping
Bought a gaming mouse from Flipkart.,Entertainment
Watched a play at Prithvi Theatre.,Entertainment
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Bought a Spotify Premium annual plan.,Entertainment
Had a masala dosa from Saravana Bhavan.,Dining
Purchased a fitness band from Cult.fit.,Healthcare
Renewed my Tata Sky DTH subscription.,Subscriptions
Ordered chaat and golgappa from a famous local vendor.,Dining
Paid for a Zee5 yearly subscription.,Subscriptions
Attended a music concert at NSCI Dome.,Entertainment
Refilled CNG in my vehicle at an HP station.,Transportation
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Purchased a laptop from Vijay Sales.,Shopping
Ordered a pair of sneakers from Flipkart.,Shopping
Paid additional maintenance charges for my rented house.,Rent
Cleared monthly rent through UPI transfer.,Rent
Paid for car parking at Phoenix Mall.,Transportation
Paid for a train sleeper class ticket on IRCTC.,Travel
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Attended a stand-up comedy show in Mumbai.,Entertainment
Bought a Delhi Metro smart card recharge.,Travel
Bought a subscription to Economic Times online.,Subscriptions
Had a dosa and filter coffee at MTR Bangalore.,Dining
Purchased a fitness band from Cult.fit.,Healthcare
Paid the BSNL landline bill.,Utilities
Bought medicines from Apollo Pharmacy.,Healthcare
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Paid my LPG gas bill for Indane.,Utilities
Recharged Jio mobile plan for the month.,Utilities
Took an e-rickshaw ride in Delhi.,Transportation
Had a dosa and filter coffee at MTR Bangalore.,Dining
Went for a fine dining experience at Taj Vivanta.,Dining
Paid for a trekking adventure in Himachal.,Entertainment
Paid for a trekking adventure in Himachal.,Entertainment
Paid consultation fees at AIIMS Delhi.,Healthcare
Stopped by a local kirana shop for daily essentials.,Groceries
Paid for an annual membership of Times of India e-paper.,Subscriptions
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Settled lease extension fees for my flat.,Rent
Took an e-rickshaw ride in Delhi.,Transportation
Purchased a fitness band from Cult.fit.,Healthcare
Bought a Spotify Premium annual plan.,Entertainment
Purchased a laptop from Vijay Sales.,Shopping
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Purchased a laptop from Vijay Sales.,Shopping
Ordered a smartwatch from Croma online.,Shopping
Ordered chaat and golgappa from a famous local vendor.,Dining
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Cleared monthly rent through UPI transfer.,Rent
Paid for an annual membership of Times of India e-paper.,Subscriptions
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Paid my LPG gas bill for Indane.,Utilities
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Transferred rent for my Bangalore apartment.,Rent
Went to an amusement park in Essel World.,Entertainment
Took an auto-rickshaw to the office.,Travel
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Cleared my Airtel broadband bill.,Utilities
Bought a Spotify Premium annual plan.,Entertainment
Stopped by a local kirana shop for daily essentials.,Groceries
Bought a silk saree from Nalli Silks.,Shopping
Paid rent for my co-living space at Zolo.,Rent
Stopped by a local kirana shop for daily essentials.,Groceries
Bought an annual Amazon Prime membership.,Subscriptions
Attended a music concert at NSCI Dome.,Entertainment
Covered plumbing repair costs for a leakage issue.,Utilities
Went to an amusement park in Essel World.,Entertainment
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Bought organic groceries from Nature’s Basket.,Groceries
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Booked an online doctor appointment via Practo.,Healthcare
Ordered biryani from Paradise Biryani House.,Dining
Attended a stand-up comedy show in Mumbai.,Entertainment
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Tried out street food at Sarafa Bazaar in Indore.,Dining
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Picked up sportswear from Decathlon.,Shopping
Cleared municipal water tax online.,Utilities
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Refueled my car at an Indian Oil petrol pump.,Transportation
Bought a gaming mouse from Flipkart.,Entertainment
Renewed my Tata Sky DTH subscription.,Subscriptions
Transferred rent for my Bangalore apartment.,Rent
Signed up for a Udemy course on Python.,Subscriptions
Bought a subscription to Economic Times online.,Subscriptions
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Picked up sportswear from Decathlon.,Shopping
Settled rental agreement paperwork costs.,Rent
Paid consultation fees at AIIMS Delhi.,Healthcare
Refueled my car at an Indian Oil petrol pump.,Transportation
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Bought a subscription to Economic Times online.,Subscriptions
Bought medicines from Apollo Pharmacy.,Healthcare
Paid for excess baggage at Mumbai Airport.,Travel
Bought organic groceries from Nature’s Basket.,Groceries
Paid the BSNL landline bill.,Utilities
Went for a fine dining experience at Taj Vivanta.,Dining
Went to an amusement park in Essel World.,Entertainment
Paid for a Zee5 yearly subscription.,Subscriptions
Ordered a pair of sneakers from Flipkart.,Shopping
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Bought gold jewelry from Tanishq.,Shopping
Bought ethnic wear from Fabindia.,Shopping
Bought an annual Amazon Prime membership.,Subscriptions
Refueled my car at an Indian Oil petrol pump.,Transportation
Stopped by a local kirana shop for daily essentials.,Groceries
Bought a gaming mouse from Flipkart.,Entertainment
Settled lease extension fees for my flat.,Rent
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Hired an Ola cab for an outstation trip.,Travel
Booked tickets for a Bollywood movie on BookMyShow.,Entertainment
Bought ethnic wear from Fabindia.,Shopping
Bought gold jewelry from Tanishq.,Shopping
Tried out street food at Sarafa Bazaar in Indore.,Dining
Signed up for a Udemy course on Python.,Subscriptions
Purchased a fitness band from Cult.fit.,Healthcare
Bought a Spotify Premium annual plan.,Entertainment
Paid for a Zee5 yearly subscription.,Subscriptions
Bought ethnic wear from Fabindia.,Shopping
Booked an auto ride via Rapido.,Transportation
Took an e-rickshaw ride in Delhi.,Transportation
Bought a Delhi Metro smart card recharge.,Travel
Picked up sportswear from Decathlon.,Shopping
Ordered a smartwatch from Croma online.,Shopping
Had a dental cleaning session at Clove Dental.,Healthcare
Got a Kurti from Biba for an event.,Shopping
Paid rent for my co-living space at Zolo.,Rent
Settled rental agreement paperwork costs.,Rent
Settled lease extension fees for my flat.,Rent
Paid PG accommodation fees via NoBroker.,Rent
Rented a self-drive Zoomcar for a weekend trip.,Travel
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Bought first-aid essentials from MedPlus.,Healthcare
Covered plumbing repair costs for a leakage issue.,Utilities
Had a dental cleaning session at Clove Dental.,Healthcare
Took a COVID-19 test at SRL Diagnostics.,Healthcare
Bought first-aid essentials from MedPlus.,Healthcare
Attended a stand-up comedy show in Mumbai.,Entertainment
Paid the BSNL landline bill.,Utilities
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Reserved a flight ticket via MakeMyTrip.,Travel
Picked up sportswear from Decathlon.,Shopping
Paid for an annual membership of Times of India e-paper.,Subscriptions
Bought an annual Amazon Prime membership.,Subscriptions
Had chai and samosas at a local tea stall.,Dining
Paid rent for my co-living space at Zolo.,Rent
Got eye checkup and glasses from Lenskart.,Healthcare
Bought an AC chair car ticket from IRCTC.,Travel
Had a dental cleaning session at Clove Dental.,Healthcare
Booked an auto ride via Rapido.,Transportation
Paid for an annual membership of Times of India e-paper.,Subscriptions
Had a masala dosa from Saravana Bhavan.,Dining
Transferred rent for my Bangalore apartment.,Rent
Paid consultation fees at AIIMS Delhi.,Healthcare
Settled the maintenance charges for my society.,Utilities
Had a masala dosa from Saravana Bhavan.,Dining
Booked an Uber to the railway station.,Travel
Bought an annual Amazon Prime membership.,Subscriptions
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Recharged Jio mobile plan for the month.,Utilities
Attended a music concert at NSCI Dome.,Entertainment
Booked an auto ride via Rapido.,Transportation
Booked an Uber to the railway station.,Travel
Settled the maintenance charges for my society.,Utilities
Transferred rent for my Bangalore apartment.,Rent
Purchased a new smartphone during the Amazon Great Indian Sale.,Shopping
Bought gold jewelry from Tanishq.,Shopping
Had a dosa and filter coffee at MTR Bangalore.,Dining
Paid consultation fees at AIIMS Delhi.,Healthcare
Bought an annual Amazon Prime membership.,Subscriptions
Renewed my YouTube Premium plan.,Subscriptions
Tried out street food at Sarafa Bazaar in Indore.,Dining
Took an auto-rickshaw to the office.,Travel
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Renewed my home inverter battery.,Utilities
Paid rent for my co-living space at Zolo.,Rent
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Settled rental agreement paperwork costs.,Rent
Paid for a Zee5 yearly subscription.,Subscriptions
Ordered chaat and golgappa from a famous local vendor.,Dining
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Recharged Jio mobile plan for the month.,Utilities
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Paid additional maintenance charges for my rented house.,Rent
Attended a music concert at NSCI Dome.,Entertainment
Purchased a new smartphone during the Amazon Great Indian Sale.,Shopping
Ordered a smartwatch from Croma online.,Shopping
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Attended a stand-up comedy show in Mumbai.,Entertainment
Renewed my Tata Sky DTH subscription.,Subscriptions
Paid PG accommodation fees via NoBroker.,Rent
Transferred rent for my Bangalore apartment.,Rent
Took an e-rickshaw ride in Delhi.,Transportation
Renewed my home inverter battery.,Utilities
Rented a self-drive Zoomcar for a weekend trip.,Travel
Booked an auto ride via Rapido.,Transportation
Renewed Cult.fit gym membership for six months.,Subscriptions
Booked an online doctor appointment via Practo.,Healthcare
Went to an amusement park in Essel World.,Entertainment
Had a masala dosa from Saravana Bhavan.,Dining
Covered plumbing repair costs for a leakage issue.,Utilities
Booked an online doctor appointment via Practo.,Healthcare
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Settled lease extension fees for my flat.,Rent
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Paid electricity bill via Paytm.,Utilities
Settled rental agreement paperwork costs.,Rent
Paid for a Zee5 yearly subscription.,Subscriptions
Hired an Ola cab for an outstation trip.,Travel
Purchased a fitness band from Cult.fit.,Healthcare
Purchased a fitness band from Cult.fit.,Healthcare
Bought a subscription to Economic Times online.,Subscriptions
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
Stopped by a local kirana shop for daily essentials.,Groceries
Watched a play at Prithvi Theatre.,Entertainment
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Bought gold jewelry from Tanishq.,Shopping
Recharged Jio mobile plan for the month.,Utilities
Got a Kurti from Biba for an event.,Shopping
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Watched a play at Prithvi Theatre.,Entertainment
Paid security deposit for a new flat in Pune.,Rent
Paid for excess baggage at Mumbai Airport.,Travel
Paid for a train sleeper class ticket on IRCTC.,Travel
Got a Kurti from Biba for an event.,Shopping
Paid security deposit for a new flat in Pune.,Rent
Paid for excess baggage at Mumbai Airport.,Travel
Ordered a full South Indian thali from Swiggy.,Dining
Bought gold jewelry from Tanishq.,Shopping
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Booked an Uber to the railway station.,Travel
Watched a play at Prithvi Theatre.,Entertainment
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Paid consultation fees at AIIMS Delhi.,Healthcare
Got a Kurti from Biba for an event.,Shopping
Refilled CNG in my vehicle at an HP station.,Transportation
Booked a Volvo bus to Bangalore via RedBus.,Travel
Had a plate of butter naan and paneer butter masala at a dhaba.,Dining
Upgraded my Netflix plan to premium.,Subscriptions
Covered plumbing repair costs for a leakage issue.,Utilities
Watched a play at Prithvi Theatre.,Entertainment
Got eye checkup and glasses from Lenskart.,Healthcare
Went for a fine dining experience at Taj Vivanta.,Dining
Bought a subscription to Economic Times online.,Subscriptions
Recharged Jio mobile plan for the month.,Utilities
Upgraded my Netflix plan to premium.,Subscriptions
Settled the maintenance charges for my society.,Utilities
Bought a Spotify Premium annual plan.,Entertainment
Stopped by a local kirana shop for daily essentials.,Groceries
Purchased a Kindle book from Amazon.,Entertainment
Renewed my home inverter battery.,Utilities
Booked an online doctor appointment via Practo.,Healthcare
Booked an Uber to the railway station.,Travel
Ordered a full South Indian thali from Swiggy.,Dining
Picked up sportswear from Decathlon.,Shopping
Went for a fine dining experience at Taj Vivanta.,Dining
Purchased a laptop from Vijay Sales.,Shopping
Cleared municipal water tax online.,Utilities
Subscribed to Gaana Plus for ad-free music.,Subscriptions
Booked an Uber to the railway station.,Travel
"Restocked my pantry with atta, dal, and spices from Reliance Fresh.",Groceries
Settled rental agreement paperwork costs.,Rent
Bought a pack of Maggi and snacks from More Supermarket.,Groceries
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Paid rent for my co-living space at Zolo.,Rent
Recharged Jio mobile plan for the month.,Utilities
Renewed my Tata Sky DTH subscription.,Subscriptions
Paid PG accommodation fees via NoBroker.,Rent
Bought a subscription to Economic Times online.,Subscriptions
Made an early EMI payment for home loan.,Rent
Paid electricity bill via Paytm.,Utilities
Renewed Cult.fit gym membership for six months.,Subscriptions
Paid rent for my co-living space at Zolo.,Rent
Renewed my Tata Sky DTH subscription.,Subscriptions
Got eye checkup and glasses from Lenskart.,Healthcare
Paid the DTH recharge for Tata Sky.,Utilities
Bought first-aid essentials from MedPlus.,Healthcare
Paid security deposit for a new flat in Pune.,Rent
Tried out street food at Sarafa Bazaar in Indore.,Dining
Paid for an annual membership of Times of India e-paper.,Subscriptions
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Got a designer lehenga from Manyavar.,Shopping
Paid for excess baggage at Mumbai Airport.,Travel
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Paid toll tax on Mumbai-Pune Expressway.,Transportation
Bought fresh vegetables and fruits from Big Bazaar.,Groceries
Recharged Jio mobile plan for the month.,Utilities
Paid rent for my co-living space at Zolo.,Rent
"Picked up rice, lentils, and masalas from D-Mart.",Groceries
Booked an Uber to the railway station.,Travel
Scheduled a full-body checkup at Dr. Lal PathLabs.,Healthcare
Refueled my car at an Indian Oil petrol pump.,Transportation
Had a dental cleaning session at Clove Dental.,Healthcare
Ordered a pair of sneakers from Flipkart.,Shopping
Bought a Delhi Metro smart card recharge.,Travel
Had chai and samosas at a local tea stall.,Dining
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Took an auto-rickshaw to the office.,Travel
Got a designer lehenga from Manyavar.,Shopping
Paid for a train sleeper class ticket on IRCTC.,Travel
Cleared municipal water tax online.,Utilities
Purchased a fitness band from Cult.fit.,Healthcare
Ordered a smartwatch from Croma online.,Shopping
Cleared monthly rent through UPI transfer.,Rent
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Paid for car parking at Phoenix Mall.,Transportation
Renewed my home inverter battery.,Utilities
Paid rent for my co-living space at Zolo.,Rent
Attended a music concert at NSCI Dome.,Entertainment
Purchased a Kindle book from Amazon.,Entertainment
Bought an annual Amazon Prime membership.,Subscriptions
Paid consultation fees at AIIMS Delhi.,Healthcare
Transferred rent for my Bangalore apartment.,Rent
Went to an amusement park in Essel World.,Entertainment
Bought a monthly metro pass for Chennai Metro.,Transportation
Had a dental cleaning session at Clove Dental.,Healthcare
Hired an Ola cab for an outstation trip.,Travel
Got a Kurti from Biba for an event.,Shopping
Bought organic groceries from Nature’s Basket.,Groceries
Had a dosa and filter coffee at MTR Bangalore.,Dining
Paid electricity bill via Paytm.,Utilities
Bought first-aid essentials from MedPlus.,Healthcare
Paid additional maintenance charges for my rented house.,Rent
Cleared my Airtel broadband bill.,Utilities
Bought a silk saree from Nalli Silks.,Shopping
Subscribed to Hotstar Premium for IPL streaming.,Entertainment
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Renewed my YouTube Premium plan.,Subscriptions
Paid the BSNL landline bill.,Utilities
Transferred rent to the landlord via Google Pay.,Rent
Ordered chaat and golgappa from a famous local vendor.,Dining
Attended a stand-up comedy show in Mumbai.,Entertainment
Got a Kurti from Biba for an event.,Shopping
Had a dental cleaning session at Clove Dental.,Healthcare
Ordered biryani from Paradise Biryani House.,Dining
Had a dosa and filter coffee at MTR Bangalore.,Dining
Renewed my Tata Sky DTH subscription.,Subscriptions
Reserved a flight ticket via MakeMyTrip.,Travel
Tried Hyderabadi dum biryani at Bawarchi.,Dining
Paid for excess baggage at Mumbai Airport.,Travel
Paid for a taxi ride from Howrah to Salt Lake.,Transportation
Bought ethnic wear from Fabindia.,Shopping
Attended a stand-up comedy show in Mumbai.,Entertainment
Refilled CNG in my vehicle at an HP station.,Transportation
Took an e-rickshaw ride in Delhi.,Transportation
Got fresh paneer and vegetables from the local mandi.,Groceries
Went to an amusement park in Essel World.,Entertainment
Bought a Delhi Metro smart card recharge.,Travel
Ordered grocery essentials from Jiomart online.,Groceries
Booked a KSRTC bus ticket for Kerala trip.,Transportation
Had a dosa and filter coffee at MTR Bangalore.,Dining
Purchased Amul milk and Britannia bread from the supermarket.,Groceries
Recharged my FASTag for highway travel.,Transportation
Signed up for a Udemy course on Python.,Subscriptions
Bought organic groceries from Nature’s Basket.,Groceries
Made an early EMI payment for home loan.,Rent
Paid security deposit for a new flat in Pune.,Rent
Tried out street food at Sarafa Bazaar in Indore.,Dining
Had a dosa and filter coffee at MTR Bangalore.,Dining
Stocked up on pulses and grains from Metro Cash & Carry.,Groceries
Paid consultation fees at AIIMS Delhi.,Healthcare
